mr,text
"give_opinion(name[Anti-Hero], rating[excellent], record_label[Republic Records])",Enchanted Forest is a fantasy board game developed by Michel Matschoss with a maximum playing time of 60 minutes.
"give_opinion(name[The Way I Are], rating[excellent], performer[Bebe Rexha])"," Are you referring to the Bruce Glassco board game Betrayal at House on the Hill, published in 2004?"
"give_opinion(name[Careless Whisper], rating[excellent], is_from_album[True])",What do you think makes card board games an average board game?
"give_opinion(name[Old Town Road], rating[excellent], publication_year[2018])","
Have you ever played a board game published by Franckh-Kosmos, like Barbarossa?"
"give_opinion(name[Right Here, Right Now], rating[good], from_album[D茅j脿 Vu])","
Have you ever played a science fiction board game from Darwin Kastle, like Star Realms?"
"give_opinion(name[I Still...], rating[excellent], producer[Max Martin])"," Have you ever heard of Scotland Yard, the board game?"
"give_opinion(name[I Was Gonna Cancel], rating[good], publication_year[2014])","
Are you talking about Bruce Glassco's Betrayal at House on the Hill board game?"
"give_opinion(name[For a Friend], rating[mediocre], from_album[Red])"," Monopoly is a classic board game, but its poor rating is understandable. Despite the hard work of Elizabeth Magie, it's just not an enjoyable game."
"give_opinion(name[Space Oddity], rating[excellent], record_label[Mercury Records])"," Have you heard of Dune, the science fiction board game?"
"give_opinion(name[Seven Nation Army], rating[excellent], publication_year[2003])"," I don't think much of Chicago as a board game. The poor rating, minimum number of players of 2, and the minimum playing time of 90 minutes make it too long and tedious for me."
"give_opinion(name[Kings of the Wild Frontier], rating[good], producer[Chris Hughes])",What's the most entertaining board wargame in the board game domain?
"give_opinion(name[Seven Nation Army], rating[excellent], from_album[Elephant])",You loved Spirit Island. Do you usually have a great opinion of board games?
"give_opinion(name[We Are the World], rating[excellent], producer[Quincy Jones])",What makes board wargames an average board game for you?
"give_opinion(name[Mr. Brightside], rating[excellent], genres[indie rock])","
Are you referring to the United States of America board game Axis and Allies?"
"give_opinion(name[Wild], rating[excellent], publication_year[2015])","
Are you referring to the board game Barbarossa from developer Klaus Teuber?"
"give_opinion(name[Stargazing], rating[excellent], record_label[Sony Music])"," Are you referring to the board game Axis and Allies, a board wargame?"
"give_opinion(name[Style], rating[excellent], producer[Ali Payami])",Star Realms is a moderate science fiction board game published in 2014 with an excellent rating. It requires at least 2 players.
"give_opinion(name[Blurred Lines], rating[excellent], performer[T.I., Robin Thicke])"," Barbarossa is a fantasy board game published by Franckh-Kosmos. It requires a minimum of 3 players and can have a maximum of 6, with a moderate complexity rating and an average rating."
"give_opinion(name[Stereotypes], rating[good], producer[Stephen Street])",Have you played the board game Mystery Motive for Murder?
"give_opinion(name[Viva la Vida], rating[excellent], from_album[Viva la Vida or Death and All His Friends])"," Risk is an average board game, but the fact that it's been around since 1957 and was published by Miro Company makes it a classic."
"give_opinion(name[Style], rating[excellent], publication_year[2015])",Battle Masters is a 1992 fantasy board game based on Warhammer with an average rating. It takes a minimum of 60 minutes and up to 2 players.
"give_opinion(name[In My Bed], rating[excellent], producer[Salaam Remi])",You said Descent Journeys in the Dark was good. Do you usually like Fantasy Flight Games' fantasy board games?
"give_opinion(name[Littlest Things], rating[good], performer[Lily Allen])"," Are you referring to the 1918 board game, Punaisten ja valkoisten taistelu Suomessa 1918?"
"give_opinion(name[Kings of the Wild Frontier], rating[good], is_from_album[True])",Battle Masters is an average board game in my opinion. The maximum number of players of 2 make it a bit too limited for me.
"give_opinion(name[I Still...], rating[excellent], instance_of[single])",What's the most frustrating wargame in the board game domain?
"give_opinion(name[About Damn Time], rating[good], instance_of[single])"," Cosmic Encounter is an average board game, but it's still a great classic. The publication year of 1977 and the publisher Fantasy Flight Games make it a timeless game."
"give_opinion(name[Stairway to Heaven], rating[excellent], from_album[Led Zeppelin IV])",Are you referring to the board game Monopoly (or Deluxe Monopoly)?
"give_opinion(name[Take My Breath Away], rating[excellent], instance_of[musical work/composition])",Sherlock Holmes Consulting Detective is a 1981 deduction board game published by Space Cowboys. It can be played with up to 8 players in a minimum of 60 minutes.
"give_opinion(name[Pumped Up Kicks], rating[excellent], performer[Foster the People])",Punaisten ja valkoisten taistelu Suomessa 1918 is a wargame board game from Finland.
"give_opinion(name[Littlest Things], rating[good], genres[contemporary R&B])",You said Descent Journeys in the Dark was good. Do you usually like Fantasy Flight Games' board games?
"give_opinion(name[Feel Again], rating[excellent], is_from_album[True])",Stratego is a moderate board wargame published by Jumbo Games. It requires 2 players and has a minimum playing time of 45 minutes.
"give_opinion(name[The Way I Are], rating[excellent], publication_year[2017])",Cosmic Encounter is a complex science fiction board game for a maximum of 8 players with a minimum playing time of 90 minutes.
"give_opinion(name[Right Here, Right Now], rating[good], is_from_album[True])"," Have you ever played a fantasy board game for up to five players, like Lord of the Rings?"
"give_opinion(name[Hold My Hand], rating[good], producer[Lady Gaga])",Scotland Yard is a 1983 moderate complexity deduction board game.
"give_opinion(name[Marilyn Monroe], rating[excellent], genres[funk])",Betrayal at House on the Hill is a 2004 complex horror fiction board game developed by Bruce Glassco for up to 6 players.
"give_opinion(name[Right Here, Right Now], rating[good], producer[Giorgio Moroder])"," Have you ever played a board game by Michel Matschoss for up to six players, like Enchanted Forest?"
"give_opinion(name[Kings of the Wild Frontier], rating[good], instance_of[musical work/composition])"," Have you ever played a fantasy board game, like Enchanted Forest?"
"give_opinion(name[Stargazing], rating[excellent], genres[tropical house])"," Have you ever played a board game in the fantasy genre, like Barbarossa?"
"give_opinion(name[Wanna Get to Know You], rating[good], from_album[Beg for Mercy])"," Are you talking about the board game Stratego, published by Jumbo Games?"
"give_opinion(name[Poison], rating[excellent], genres[dance-pop])"," African Star, also known as Afrikan tähti or Diamond Hunt, is a 1951 roll-and-move board game for at least 2 players with a minimum playing time of 45 minutes and a poor rating."
"give_opinion(name[Wanna Get to Know You], rating[good], record_label[G-Unit Records])",You enjoyed Thurn and Taxis. Do you usually like board games?
"give_opinion(name[Mad Love], rating[excellent], instance_of[single])",What board game do you find the most stimulating?
"give_opinion(name[Stairway to Heaven], rating[excellent], producer[Jimmy Page])",HeroQuest is a complex fantasy board game published by Games Workshop with a good rating.
"give_opinion(name[Style], rating[excellent], performer[Taylor Swift])"," Have you heard of Star Realms, a science fiction board game from White Wizard Games?"
"give_opinion(name[About Damn Time], rating[good], producer[Ricky Reed])",You said that Dune was an excellent game. Do you usually love science fiction board games?
"give_opinion(name[Seven Nation Army], rating[excellent], producer[Jack White])"," Lord of the Rings is an average board game, but I appreciate that it has a minimum playing time of 20 minutes and was designed by Reiner Knizia."
"give_opinion(name[Mr. Brightside], rating[excellent], publication_year[2003])",What makes mystery fiction board games an average board game?
"give_opinion(name[Wild], rating[excellent], instance_of[song])",Sherlock Holmes Consulting Detective is a complex deduction board game published by Space Cowboys. It can be played in 60 to 120 minutes with a maximum of 8 players.
"give_opinion(name[Wanna Get to Know You], rating[good], is_from_album[True])"," Mangala is a simple abstract strategy board game based on Mancala, that can be played with two players. It has an average rating."
"give_opinion(name[Cold Heart], rating[good], record_label[Mercury Records])",You said Betrayal at House on the Hill was just okay. Are horror fiction board games usually mediocre to you?
"give_opinion(name[Wild], rating[excellent], instance_of[single])",What's an educational board game for one player?
"give_opinion(name[Wild], rating[excellent], genres[synth-pop])"," Enchanted Forest is an average board game, but I like the fantasy genre and the maximum number of players of 6."
